ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000171989	92483	LDHAL6B	LDHAL6B	NA	Q9BYZ2	DB00157
ENSG00000200070	NA	RNU4-80P	RNU4-80P	NA	NA	NA
ENSG00000215983	NA	AC092756.1	NA	NA	NA	NA
ENSG00000259771	NA	RP11-429D19.1	NA	NA	NA	NA
ENSG00000199512	NA	RNU6-212P	RNU6-212P	NA	NA	NA
ENSG00000259735	NA	RP11-356M20.3	NA	NA	NA	NA
ENSG00000157470	145773	FAM81A	FAM81A	NA	Q8TBF8	NA
ENSG00000238767	NA	snoU13	NA	NA	NA	NA
ENSG00000259750	NA	RP11-356M20.2	NA	NA	NA	NA
ENSG00000259674	NA	RP11-356M20.1	NA	NA	NA	NA
ENSG00000200252	NA	Y_RNA	NA	NA	NA	NA
ENSG00000243780	NA	RP11-112N19.1	NA	NA	NA	NA
ENSG00000240238	NA	RP11-112N19.2	NA	NA	NA	NA
ENSG00000201704	NA	RNA5SP396	RNA5SP396	NA	NA	NA
ENSG00000200606	NA	Y_RNA	NA	NA	NA	NA
ENSG00000140297	9245	GCNT3	GCNT3	606836	O95395	NA
ENSG00000140307	2958	GTF2A2	GTF2A2	600519	P52657	NA
ENSG00000182718	302	ANXA2	ANXA2	151740	P07355	DB00031:DB00591:DB06245:DB11638
ENSG00000240163	NA	RP11-745A24.1	NA	NA	NA	NA
ENSG00000242667	NA	RP11-745A24.2	NA	NA	NA	NA
ENSG00000259482	100996876	RP11-219B17.2	NA	NA	NA	NA
ENSG00000264376	NA	RN7SL613P	RN7SL613P	NA	NA	NA
ENSG00000259466	NA	NPM1P47	NPM1P47	NA	NA	NA
ENSG00000173482	5797	PTPRM	PTPRM	176888	P28827	NA
ENSG00000221631	NA	AP000897.1	NA	NA	NA	NA
ENSG00000266767	NA	RP11-678G15.2	NA	NA	NA	NA
ENSG00000264596	NA	RP11-678G15.1	NA	NA	NA	NA
ENSG00000263827	NA	AP005118.1	NA	NA	NA	NA
ENSG00000199856	NA	U3	NA	NA	NA	NA
ENSG00000261824	148189	LINC00662	LINC00662	NA	NA	NA
ENSG00000267575	NA	CTC-459F4.3	NA	NA	NA	NA
ENSG00000272635	NA	LLNLF-65H9.1	NA	NA	NA	NA
ENSG00000267264	NA	CTC-459F4.6	NA	NA	NA	NA
ENSG00000267323	NA	SLC25A1P5	SLC25A1P5	NA	NA	NA
ENSG00000267389	NA	CTC-459F4.7	NA	NA	NA	NA
ENSG00000266977	NA	CTC-459F4.5	NA	NA	NA	NA
ENSG00000267623	NA	AC022153.1	NA	NA	NA	NA
ENSG00000267768	NA	CTC-459F4.8	NA	NA	NA	NA
