# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Kidney.Fenestrated_endotheli...2      COVAR   12577    -0.023866   -0.0022009      0.12431      0.57613 Kidney.Fenestrated_endothelial_cell_Tm4sf1_high
Kidney.Intercalated_cells_of...1      COVAR   12577    -0.018616   -0.0020833      0.11265      0.56563 Kidney.Intercalated_cells_of_collecting_duct_Aqp6_high
Kidney.Intercalated_cells_of...2      COVAR   12577     -0.02365   -0.0026415      0.11423      0.58201 Kidney.Intercalated_cells_of_collecting_duct_Slc26a4_high
Kidney.Macrophage_Ccl4_high_          COVAR   12577     -0.22432     -0.02687      0.11915      0.97012 Kidney.Macrophage_Ccl4_high_
Kidney.Macrophage_Lyz2_high           COVAR   12577     0.049714    0.0087008     0.062913      0.21471 Kidney.Macrophage_Lyz2_high
Kidney.Neutrophil_progenitor...       COVAR   12577   -0.0017705  -0.00031773     0.048534      0.51455 Kidney.Neutrophil_progenitor_S100a8_high
Kidney.Proximal_tubule_brush...       COVAR   12577    -0.074804   -0.0097425     0.084291      0.81257 Kidney.Proximal_tubule_brush_border_cell
Kidney.Proximal_tubule_cell_...1      COVAR   12577      -0.0586   -0.0069446     0.091627      0.73876 Kidney.Proximal_tubule_cell_Cyp4a14_high
Kidney.Proximal_tubule_cell_...2      COVAR   12577   -0.0074219  -0.00092869     0.089667      0.53298 Kidney.Proximal_tubule_cell_Osgin1_high
Kidney.S1_proximal_tubule_ce...       COVAR   12577    -0.031029   -0.0039217     0.089342      0.63581 Kidney.S1_proximal_tubule_cells
Kidney.S3_proximal_tubule_ce...       COVAR   12577    -0.011863    -0.001816     0.074684       0.5631 Kidney.S3_proximal_tubule_cells
Kidney.Stromal_cell_Ankrd1_h...       COVAR   12577   -0.0030235  -0.00030401     0.097678      0.51235 Kidney.Stromal_cell_Ankrd1_high
Kidney.Stromal_cell_Cxcl10_h...       COVAR   12577      0.10435     0.013479     0.081865      0.10123 Kidney.Stromal_cell_Cxcl10_high
Kidney.Stromal_cell_Dcn_high          COVAR   12577     0.055989    0.0073002     0.088794      0.26417 Kidney.Stromal_cell_Dcn_high
Kidney.Stromal_cell_Mgp_high          COVAR   12577     0.086072     0.011526     0.072935      0.11899 Kidney.Stromal_cell_Mgp_high
Kidney.Stromal_cell_Ptgds_hi...       COVAR   12577     0.030707    0.0033501      0.12299      0.40142 Kidney.Stromal_cell_Ptgds_high
Kidney.T_cell                         COVAR   12577     -0.17991     -0.01865      0.12855      0.91916 Kidney.T_cell
Kidney.Thick_ascending_limb_...       COVAR   12577     0.060925    0.0061538      0.12333      0.31066 Kidney.Thick_ascending_limb_of_the_loop_of_Henle
Kidney.Ureteric_epithelium            COVAR   12577      0.12722     0.017608     0.086224     0.070056 Kidney.Ureteric_epithelium
Liver.B_cell_Fcmr_high                COVAR   12577    -0.038656   -0.0037001      0.12342      0.62293 Liver.B_cell_Fcmr_high
Liver.B_cell_Jchain_high              COVAR   12577    -0.069653   -0.0081158     0.095757       0.7665 Liver.B_cell_Jchain_high
Liver.Dendritic_cell_Cst3_hi...       COVAR   12577    -0.018426   -0.0018489        0.136      0.55389 Liver.Dendritic_cell_Cst3_high
Liver.Dendritic_cell_Siglech...       COVAR   12577     0.043999    0.0044598       0.1129      0.34838 Liver.Dendritic_cell_Siglech_high
Liver.Endothelial_cell                COVAR   12577     0.021997    0.0018936      0.13186      0.43375 Liver.Endothelial_cell
Liver.Epithelia_cell_Spp1_hi...       COVAR   12577     0.091356    0.0084702      0.13561      0.25027 Liver.Epithelia_cell_Spp1_high
Liver.Epithelial_cell                 COVAR   12577      0.13122     0.021004     0.066101     0.023581 Liver.Epithelial_cell
Liver.Erythroblast_Hbb.bs_hi...       COVAR   12577      0.10258    0.0087208       0.1382      0.22898 Liver.Erythroblast_Hbb.bs_high
Liver.Erythroblast_Hbb.bt_hi...       COVAR   12577    -0.081843   -0.0096922     0.080001      0.84684 Liver.Erythroblast_Hbb.bt_high
Liver.Granulocyte                     COVAR   12577     -0.03039   -0.0029557      0.11555      0.60372 Liver.Granulocyte
Liver.Hepatocyte_Fabp1_high           COVAR   12577    -0.052297   -0.0065707     0.081849      0.73856 Liver.Hepatocyte_Fabp1_high
Liver.Hepatocyte_mt.Nd4_high          COVAR   12577    -0.029356   -0.0059005       0.0424      0.75564 Liver.Hepatocyte_mt.Nd4_high
Liver.Kuppfer_cell                    COVAR   12577     0.068434    0.0070609      0.10947      0.26595 Liver.Kuppfer_cell
Liver.Macrophage_Chil3_high           COVAR   12577    -0.057166   -0.0055276       0.1309      0.66883 Liver.Macrophage_Chil3_high
Liver.Neutrophil_Ngp_high             COVAR   12577    -0.049384   -0.0058369     0.081005      0.72895 Liver.Neutrophil_Ngp_high
Liver.Pericentral_                    COVAR   12577    -0.031551   -0.0038477       0.0848      0.64507 Liver.Pericentral_
Liver.Periportal_                     COVAR   12577      0.03758    0.0068719     0.052044      0.23513 Liver.Periportal_
Liver.Stromal_cell                    COVAR   12577      0.19769     0.023964     0.084318    0.0095328 Liver.Stromal_cell
Liver.T_cell_Gzma_high                COVAR   12577    -0.039754   -0.0038628      0.11538      0.63478 Liver.T_cell_Gzma_high
Liver.T_cell_Trbc2_high               COVAR   12577      0.14536     0.013462      0.14239      0.15367 Liver.T_cell_Trbc2_high
Lung.Alveolar_bipotent_proge...       COVAR   12577    -0.025551   -0.0034911     0.083654      0.61998 Lung.Alveolar_bipotent_progenitor
Lung.Alveolar_macrophage_Ear...       COVAR   12577     0.010696    0.0010805      0.13365      0.46811 Lung.Alveolar_macrophage_Ear2_high
Lung.Alveolar_macrophage_Pcl...       COVAR   12577     0.090576       0.0112     0.097984      0.17765 Lung.Alveolar_macrophage_Pclaf_high
Lung.AT1_Cell                         COVAR   12577      0.15399     0.016289      0.10549     0.072196 Lung.AT1_Cell
Lung.AT2_Cell                         COVAR   12577     -0.03306   -0.0033418      0.12916      0.60101 Lung.AT2_Cell
Lung.B_Cell                           COVAR   12577     0.059289     0.005642      0.14011      0.33609 Lung.B_Cell
Lung.Ciliated_cell                    COVAR   12577    -0.034303   -0.0041777     0.092366      0.64482 Lung.Ciliated_cell
Lung.Clara_Cell                       COVAR   12577    0.0074712   0.00082113      0.11723      0.47459 Lung.Clara_Cell
Lung.Conventional_dendritic_...1      COVAR   12577     -0.20965    -0.018073      0.14091      0.93159 Lung.Conventional_dendritic_cell_Gngt2_high
Lung.Conventional_dendritic_...2      COVAR   12577   -0.0042436  -0.00056465     0.077076      0.52195 Lung.Conventional_dendritic_cell_H2.M2_high
Lung.Conventional_dendritic_...3      COVAR   12577     0.021673     0.002441      0.10876      0.42103 Lung.Conventional_dendritic_cell_Mgl2_high
Lung.Conventional_dendritic_...4      COVAR   12577   -0.0042434    -0.000555     0.090126      0.51878 Lung.Conventional_dendritic_cell_Tubb5_high
Lung.Dendritic_cell_Naaa_high         COVAR   12577     -0.04437   -0.0047515      0.12476      0.63894 Lung.Dendritic_cell_Naaa_high
Lung.Dividing_cells                   COVAR   12577    -0.026311    -0.003792     0.090695      0.61413 Lung.Dividing_cells
Lung.Dividing_dendritic_cells         COVAR   12577    0.0091668     0.001315     0.084194      0.45665 Lung.Dividing_dendritic_cells
Lung.Dividing_T_cells                 COVAR   12577    -0.066804   -0.0090334     0.096237       0.7562 Lung.Dividing_T_cells
Lung.Endothelial_cell_Kdr_hi...       COVAR   12577    -0.042227   -0.0040899      0.10676      0.65377 Lung.Endothelial_cell_Kdr_high
Lung.Endothelial_cell_Tmem10...       COVAR   12577     0.018372    0.0017686      0.11797      0.43812 Lung.Endothelial_cell_Tmem100_high
