# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Lung.NK_Cell                          COVAR   12577     -0.25316    -0.020475       0.1593      0.94398 Lung.NK_Cell
Lung.Nuocyte                          COVAR   12577     -0.19031    -0.017219      0.12634      0.93399 Lung.Nuocyte
Lung.Plasmacytoid_dendritic_...       COVAR   12577      0.13377     0.011931      0.15277      0.19063 Lung.Plasmacytoid_dendritic_cell
Lung.Stromal_cell_Acta2_high          COVAR   12577     -0.01014   -0.0010208      0.10781      0.53747 Lung.Stromal_cell_Acta2_high
Lung.Stromal_cell_Dcn_high            COVAR   12577     0.036675       0.0044     0.098918      0.35541 Lung.Stromal_cell_Dcn_high
Lung.Stromal_cell_Inmt_high           COVAR   12577    -0.017757   -0.0019492      0.10808      0.56525 Lung.Stromal_cell_Inmt_high
Lung.T_Cell_Cd8b1_high                COVAR   12577      -0.2602    -0.020917        0.149      0.95961 Lung.T_Cell_Cd8b1_high
Mammary_Gland.Adiocyte_cell           COVAR   12577     0.023234    0.0011622      0.21865      0.45769 Mammary_Gland.Adiocyte_cell
Mammary_Gland.B_cell_Cd79a_h...       COVAR   12577    -0.094781   -0.0088916        0.123      0.77951 Mammary_Gland.B_cell_Cd79a_high
Mammary_Gland.B_cell_Cd79a.F...       COVAR   12577     -0.24581    -0.022611      0.13957      0.96089 Mammary_Gland.B_cell_Cd79a.Fcer2a_high
Mammary_Gland.B_cell_Cd79a.I...       COVAR   12577    -0.060388   -0.0051937      0.15026      0.65611 Mammary_Gland.B_cell_Cd79a.Iglc2_high
Mammary_Gland.B_cell_Igkv6.1...       COVAR   12577     0.062959    0.0039331      0.16169       0.3485 Mammary_Gland.B_cell_Igkv6.15_high
Mammary_Gland.B_cell_Igkv6.2...       COVAR   12577     -0.16264    -0.011569      0.12973      0.89502 Mammary_Gland.B_cell_Igkv6.23_high
Mammary_Gland.B_cell_Jchain_...       COVAR   12577      0.13798    0.0073114      0.24757      0.28865 Mammary_Gland.B_cell_Jchain_high
Mammary_Gland.B_cell_Ly6d_hi...       COVAR   12577     -0.11542    -0.011284      0.16541      0.75733 Mammary_Gland.B_cell_Ly6d_high
Mammary_Gland.Dendritic_cell          COVAR   12577     0.053979    0.0032238      0.17268       0.3773 Mammary_Gland.Dendritic_cell
Mammary_Gland.Dendritic_cell...1      COVAR   12577     -0.11041    -0.011972      0.10456      0.85448 Mammary_Gland.Dendritic_cell_Ccl22_high
Mammary_Gland.Dendritic_cell...2      COVAR   12577   -0.0052004   -0.0008134     0.086336      0.52402 Mammary_Gland.Dendritic_cell_Cd209a_high
Mammary_Gland.Dendritic_cell...3      COVAR   12577    -0.033193   -0.0040459      0.12257      0.60673 Mammary_Gland.Dendritic_cell_Cst3_high
Mammary_Gland.Dendritic_cell...4      COVAR   12577     -0.15887    -0.018874       0.1129      0.92029 Mammary_Gland.Dendritic_cell_Fscn1_high
Mammary_Gland.Dendritic_cell...5      COVAR   12577    -0.088152    -0.010474     0.089251      0.83834 Mammary_Gland.Dendritic_cell_Il1b_high
Mammary_Gland.Dendritic_cell...6      COVAR   12577     -0.18555     -0.01756      0.12513      0.93093 Mammary_Gland.Dendritic_cell_Siglech_high
Mammary_Gland.Dividing_cell           COVAR   12577     -0.15856    -0.023273      0.10986      0.92552 Mammary_Gland.Dividing_cell
Mammary_Gland.Ductal_luminal...       COVAR   12577     -0.22426    -0.017418      0.24426      0.82071 Mammary_Gland.Ductal_luminal_cell
Mammary_Gland.Endothelial_ce...1      COVAR   12577    -0.005816  -0.00076143      0.08608      0.52693 Mammary_Gland.Endothelial_cell
Mammary_Gland.Endothelial_ce...2      COVAR   12577    -0.008629  -0.00095812      0.10124      0.53396 Mammary_Gland.Endothelial_cell_Aqp1_high
Mammary_Gland.Endothelial_ce...4      COVAR   12577     -0.14437     -0.01349      0.12889      0.86865 Mammary_Gland.Endothelial_cell_Fabp4_high
Mammary_Gland.Endothelial_ce...3      COVAR   12577    -0.033361   -0.0043485     0.079214      0.66317 Mammary_Gland.Endothelial_cell_Fabp4.Aqp1_high
Mammary_Gland.Endothelial_ce...5      COVAR   12577     0.074581    0.0077786      0.10163      0.23152 Mammary_Gland.Endothelial_cell_Glycam1_high
Mammary_Gland.Luminal_cell            COVAR   12577    -0.078902   -0.0093728      0.12834      0.73064 Mammary_Gland.Luminal_cell
Mammary_Gland.Luminal_cell_K...       COVAR   12577    -0.048956   -0.0072226      0.10344        0.682 Mammary_Gland.Luminal_cell_Krt19_high
Mammary_Gland.Luminal_progen...       COVAR   12577      0.10279      0.01449      0.10137      0.15531 Mammary_Gland.Luminal_progenitor
Mammary_Gland.Macrophage              COVAR   12577     0.063006     0.013228     0.072561      0.19262 Mammary_Gland.Macrophage
Mammary_Gland.Macrophage_Apo...       COVAR   12577     0.020265    0.0021888      0.10659      0.42461 Mammary_Gland.Macrophage_Apoe_high
Mammary_Gland.Macrophage_C1q...1      COVAR   12577    0.0072202   0.00045282      0.15467      0.48138 Mammary_Gland.Macrophage_C1qb_high
Mammary_Gland.Macrophage_C1q...2      COVAR   12577      0.06369    0.0071071      0.11638      0.29211 Mammary_Gland.Macrophage_C1qc_high
Mammary_Gland.Macrophage_Cd7...       COVAR   12577      0.06172    0.0028898       0.2666      0.40846 Mammary_Gland.Macrophage_Cd74_high
Mammary_Gland.Macrophage_Lyz...       COVAR   12577    -0.022689   -0.0026372      0.13039      0.56907 Mammary_Gland.Macrophage_Lyz1_high
