# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Fetal_Stomache.Muscle_cell           COVAR   12577     -0.13749    -0.012465      0.21498      0.73876 Fetal_Stomache.Muscle_cell
Fetal_Stomache.Neuron                COVAR   12577     -0.18642    -0.017806      0.17706      0.85378 Fetal_Stomache.Neuron
Fetal_Stomache.Neutrophil            COVAR   12577     0.062844    0.0070474      0.12657      0.30976 Fetal_Stomache.Neutrophil
Fetal_Stomache.Progenitor_ce...      COVAR   12577      0.19035     0.016581      0.25922      0.23139 Fetal_Stomache.Progenitor_cell
Fetal_Stomache.Stomach_cell_...      COVAR   12577     -0.10918   -0.0096411      0.24008      0.67536 Fetal_Stomache.Stomach_cell_Kazald1_high
Fetal_Stomache.Stromal_cell_...1     COVAR   12577     -0.31285    -0.026935      0.26733      0.87904 Fetal_Stomache.Stromal_cell_Cdkn1c_high
Fetal_Stomache.Stromal_cell_...2     COVAR   12577     -0.24812    -0.022702      0.25456      0.83513 Fetal_Stomache.Stromal_cell_Dcn_high
Placenta.B_cell                      COVAR   12577     0.019666    0.0030938     0.050464      0.34838 Placenta.B_cell
Placenta.Basophil                    COVAR   12577    -0.036781   -0.0037663      0.10691      0.63459 Placenta.Basophil
Placenta.Decidual_stromal_ce...      COVAR   12577    -0.026609   -0.0039914     0.077591      0.63418 Placenta.Decidual_stromal_cell
Placenta.Dendritic_cell              COVAR   12577     0.069556     0.006497      0.13514      0.30339 Placenta.Dendritic_cell
Placenta.Endodermal_cell_Afp...      COVAR   12577     0.071799     0.011567      0.07809      0.17894 Placenta.Endodermal_cell_Afp_high
Placenta.Endothelial_cell_Ma...      COVAR   12577     -0.13192    -0.014559      0.14309      0.82171 Placenta.Endothelial_cell_Maged2_high
Placenta.Erythroblast_Hbb.y_...      COVAR   12577   -0.0048436  -0.00063537     0.086425      0.52235 Placenta.Erythroblast_Hbb.y_high
